# Stellarium DSO catalog;;;;;;;;
# Version 3.7 standard;;;;;;;;
# NGC;MES;CAL;RA;DEC;MAG;TYPE;SIZE1;SIZE2
4103;0;0;181.665;-61.25;7.4;OPNCL;9;0
6134;0;0;246.942;-49.152;7.2;OPNCL;9;0
1857;0;0;80.014;39.29;7;OPNCL;9;0
2439;0;0;115.188;-31.693;6.9;OPNCL;9;0
6281;0;0;256.171;-37.985;5.4;CLANB;9;0
1491;0;0;60.8163;51.315;99;H-I-I;9;6
2030;0;0;83.89;-66.0406;99;H-I-I;9;6
1333;0;0;52.23;31.37;9.5;REFNB;9;7
2997;0;0;146.411638;-31.191089;9.41;GALXY;8.63;6.904
5906;0;0;228.973696;56.32885;11.80332;GALXY;8.513;1.362
7793;0;0;359.457612;-32.591031;9.11;GALXY;8.37;6.863
2366;0;0;112.21604;69.20864;10.85;GALXY;8.1;3.3
5466;0;0;211.36371;28.53444;9.7;GLOCL;8;0
6649;0;0;278.362;-10.403;8.9;OPNCL;8;0
2215;0;0;95.204;-7.283;8.45;OPNCL;8;0
2627;0;0;129.312;-29.955;8.4;OPNCL;8;0
2421;0;0;114.05;-20.62;8.3;OPNCL;8;0
6723;0;0;284.88812;-36.63225;7.92;GLOCL;8;0
6830;0;0;297.746;23.1;7.9;OPNCL;8;0
5662;0;0;218.904;-56.618;5.5;CLSTR;8;0
3293;0;0;158.955;-58.23;4.7;CLANB;8;0
371;0;0;15.854;-72.073;99;OPNCL;8;0
6164;0;0;248.468286;-48.111243;6.71;H-I-I;8;4
2467;0;0;118.077;-26.428;7.1;H-I-I;8;7
1770;0;0;74.6238;-68.4506;99;H-I-I;8;7
7538;0;0;348.405;61.5;99;CLANB;8;7
7142;0;0;326.2917;65.7717;9.3;OPNCL;8;8
4725;0;0;192.610887;25.500758;12.44;GALXY;7.73;4.02
2067;0;0;86.65;0.12;99;REFNB;7.5;3
3621;0;0;169.567917;-32.8126;9.56;GALXY;7.46;3.581
925;0;0;36.820471;33.578881;10.12;GALXY;7.313;3.218
1560;0;0;68.204529;71.883111;99;GALXY;7.11;2.467
5102;0;0;200.490233;-36.630211;9.65;GALXY;7.107;3.411
1300;0;0;49.921162;-19.411361;10.42;GALXY;7.073;3.395
2580;0;0;125.377;-30.295;9.7;OPNCL;7;0
133;0;0;7.8;63.367;9.4;OPNCL;7;0
4230;0;0;184.335;-55.12;9.4;OPNCL;7;0
956;0;0;38.063;44.563;8.9;OPNCL;7;0
2250;0;0;98.422;-5.08;8.9;OPNCL;7;0
5749;0;0;222.23;-54.5;8.8;OPNCL;7;0
6192;0;0;250.096;-43.367;8.5;OPNCL;7;0
2420;0;0;114.596;21.573;8.3;OPNCL;7;0
2489;0;0;119.063;-30.063;7.9;OPNCL;7;0
7510;0;0;347.75;60.57;7.9;OPNCL;7;0
5138;0;0;201.817;-59.033;7.6;OPNCL;7;0
6910;0;0;305.783;40.775;7.4;OPNCL;7;0
7063;0;0;321.1;36.48;7;OPNCL;7;0
1502;0;0;61.958;62.332;6.9;OPNCL;7;0
6167;0;0;248.642;-49.772;6.7;OPNCL;7;0
7160;0;0;328.417;62.603;6.1;OPNCL;7;0
6250;0;0;254.492;-45.943;5.9;OPNCL;7;0
6631;0;0;276.813;-12.02;11.7;OPNCL;7;0
1554;0;0;65.5;19.6;99;REFNB;7;0
6979;0;0;312.6167;32.0258;99;SNREM;7;3
2071;0;0;86.791;0.3;9.5;REFNB;7;5
7090;0;0;324.120271;-54.557319;10.51;GALXY;6.937;1.804
4216;0;0;183.97685;13.1494;10.01;GALXY;6.917;1.245
3256;0;0;156.965;-43.905;11.33;INGAL;6.76;2.691
3180;0;0;154.570771;41.424381;12.68484;GALXY;6.723;5.715
672;0;0;26.977179;27.432778;99;INGAL;6.457;1.808
5068;0;0;199.728363;-21.0391;9.9;GALXY;6.427;4.37
1360;0;0;53.311031;-25.871665;11.16;PLNNB;6.4;6.4
2841;0;0;140.511063;50.976478;9.22;GALXY;6.327;2.847
6749;0;0;286.314;1.9;12.4;GLOCL;6.3;6.3
3432;0;0;163.129717;36.618778;11.67;INGAL;6.273;1.255
1313;0;0;49.566858;-66.498261;10;GALXY;6.253;3.502
2442;0;0;114.099342;-69.530822;10.42;GALXY;6.197;5.391
2903;0;0;143.042129;21.500831;9.01;GALXY;6.1;3.294
